pageid,chaptername,citation,epigr,frontimage,pagenext,pageprev,partname,parturl,title,layout
predislo,,"Historia [...] vita memoriae, magistra vitae.<br> Cicero. De oratore.<br> II.9:36.<br>Смотри в корень!_<br>  Козьма Прутков. Плоды раздумий.5.",,pastor,01,,,,Предисловие,bn-old
01,I. Критический анализ канонических Евангелий,"“Кто может  вместить,  да вместит”<br> (Отк.14:6).",,1234evan,02,predislo,Введение,vveden,1. Общие положения,bn-old
02,I. Критический анализ канонических Евангелий,“Человек рождается на страдание... чтоб устремляться вверх”<br> (Иов.5:7).,,1evan,03,01,Введение,vveden,2. Евангелие от Матфея,bn-old
03,I. Критический анализ канонических Евангелий,“Не следуй за большинством на зло”<br> (Исх.23:2).,,2evan,04,02,Введение,vveden,3. Евангелие от Марка,bn-old
04,I. Критический анализ канонических Евангелий,"“Итак, смотри: свет, который в тебе, не есть ли тьма?”<br> (Лк.11:35).",,3evan,05,03,Введение,vveden,4. Евангелие от Луки,bn-old
05,I. Критический анализ канонических Евангелий,"“Кто из вас без греха, первый брось на нее камень”<br> (Ин.8:7).",,4evan,06,04,Введение,vveden,5. Евангелие от Иоанна,bn-old
06,II. Иудейство до Первой Иудейской войны,"“Гордость человека унижает его, а смиренный духом приобретает честь”<br> (Прит.29:23).",,poln_var,07,05,Введение,vveden,6. Палестина,bn-old
07,II. Иудейство до Первой Иудейской войны,"“Дней лет наших — семьдесят лет... и самая лучшая пора их — труд и болезнь, ибо проходят быстро, и мы летим”<br> (Пс.89:10).",,poln_var,08,06,Введение,vveden,7. Очерк истории еврейского народа,bn-old
08,II. Иудейство до Первой Иудейской войны,### КУЛЬТ ЯХВЕ,,,08a,07,Введение,vveden,8. Культ Яхве,bn-old
08a,II. Иудейство до Первой Иудейской войны,"“Сердце чистое сотвори во мне, Боже, и дух правый обнови внутри меня”<br> (Пс.50:12).",,menorah,08b,08,Введение,vveden,8. Культ Яхве (начало)  ,bn-old
08b,II. Иудейство до Первой Иудейской войны,“Лица Моего не можно тебе увидеть; потому что человек не может увидеть Меня и остаться в живых”<br> (Исх.33:20).,,synagoge,09,08a,Введение,vveden,8. Культ Яхве (окончание)  ,bn-old
09,II. Иудейство до Первой Иудейской войны,"“Тот Иудей, кто внутренно таков... ему и похвала не от людей, но от Бога”<br> (Рим.2:29).",,poln_var,10,08b,Введение,vveden,9. Иерусалим и Храм,bn-old
